+-------------+--------------+------------+-------------+
| festival_id | festival_day | staff_role | staff_count |
+-------------+--------------+------------+-------------+
|           1 | 2017-08-01   | helper     |          19 |
|           1 | 2017-08-01   | security   |          48 |
|           1 | 2017-08-01   | technician |          29 |
|           1 | 2017-08-02   | helper     |          40 |
|           1 | 2017-08-02   | security   |         100 |
|           1 | 2017-08-02   | technician |          60 |
|           1 | 2017-08-03   | helper     |          28 |
|           1 | 2017-08-03   | security   |          68 |
|           1 | 2017-08-03   | technician |          42 |
|           1 | 2017-08-04   | helper     |          22 |
|           1 | 2017-08-04   | security   |          53 |
|           1 | 2017-08-04   | technician |          33 |
|           1 | 2017-08-05   | helper     |          21 |
|           1 | 2017-08-05   | security   |          53 |
|           1 | 2017-08-05   | technician |          32 |
|           2 | 2018-08-01   | helper     |          19 |
|           2 | 2018-08-01   | security   |          48 |
|           2 | 2018-08-01   | technician |          29 |
|           2 | 2018-08-02   | helper     |          40 |
|           2 | 2018-08-02   | security   |         100 |
|           2 | 2018-08-02   | technician |          60 |
|           2 | 2018-08-03   | helper     |          28 |
|           2 | 2018-08-03   | security   |          68 |
|           2 | 2018-08-03   | technician |          42 |
|           2 | 2018-08-04   | helper     |          22 |
|           2 | 2018-08-04   | security   |          53 |
|           2 | 2018-08-04   | technician |          33 |
|           2 | 2018-08-05   | helper     |          21 |
|           2 | 2018-08-05   | security   |          53 |
|           2 | 2018-08-05   | technician |          32 |
|           3 | 2019-08-01   | helper     |          19 |
|           3 | 2019-08-01   | security   |          48 |
|           3 | 2019-08-01   | technician |          29 |
|           3 | 2019-08-02   | helper     |          40 |
|           3 | 2019-08-02   | security   |         100 |
|           3 | 2019-08-02   | technician |          60 |
|           3 | 2019-08-03   | helper     |          28 |
|           3 | 2019-08-03   | security   |          68 |
|           3 | 2019-08-03   | technician |          42 |
|           3 | 2019-08-04   | helper     |          22 |
|           3 | 2019-08-04   | security   |          53 |
|           3 | 2019-08-04   | technician |          33 |
|           3 | 2019-08-05   | helper     |          21 |
|           3 | 2019-08-05   | security   |          53 |
|           3 | 2019-08-05   | technician |          32 |
|           4 | 2020-08-01   | helper     |          19 |
|           4 | 2020-08-01   | security   |          48 |
|           4 | 2020-08-01   | technician |          29 |
|           4 | 2020-08-02   | helper     |          40 |
|           4 | 2020-08-02   | security   |         100 |
|           4 | 2020-08-02   | technician |          60 |
|           4 | 2020-08-03   | helper     |          28 |
|           4 | 2020-08-03   | security   |          68 |
|           4 | 2020-08-03   | technician |          42 |
|           4 | 2020-08-04   | helper     |          22 |
|           4 | 2020-08-04   | security   |          53 |
|           4 | 2020-08-04   | technician |          33 |
|           4 | 2020-08-05   | helper     |          21 |
|           4 | 2020-08-05   | security   |          53 |
|           4 | 2020-08-05   | technician |          32 |
|           5 | 2021-08-01   | helper     |          19 |
|           5 | 2021-08-01   | security   |          48 |
|           5 | 2021-08-01   | technician |          29 |
|           5 | 2021-08-02   | helper     |          40 |
|           5 | 2021-08-02   | security   |         100 |
|           5 | 2021-08-02   | technician |          60 |
|           5 | 2021-08-03   | helper     |          28 |
|           5 | 2021-08-03   | security   |          68 |
|           5 | 2021-08-03   | technician |          42 |
|           5 | 2021-08-04   | helper     |          22 |
|           5 | 2021-08-04   | security   |          53 |
|           5 | 2021-08-04   | technician |          33 |
|           5 | 2021-08-05   | helper     |          21 |
|           5 | 2021-08-05   | security   |          53 |
|           5 | 2021-08-05   | technician |          32 |
|           6 | 2022-08-01   | helper     |          19 |
|           6 | 2022-08-01   | security   |          48 |
|           6 | 2022-08-01   | technician |          29 |
|           6 | 2022-08-02   | helper     |          40 |
|           6 | 2022-08-02   | security   |         100 |
|           6 | 2022-08-02   | technician |          60 |
|           6 | 2022-08-03   | helper     |          28 |
|           6 | 2022-08-03   | security   |          68 |
|           6 | 2022-08-03   | technician |          42 |
|           6 | 2022-08-04   | helper     |          22 |
|           6 | 2022-08-04   | security   |          53 |
|           6 | 2022-08-04   | technician |          33 |
|           6 | 2022-08-05   | helper     |          21 |
|           6 | 2022-08-05   | security   |          53 |
|           6 | 2022-08-05   | technician |          32 |
|           7 | 2023-08-01   | helper     |          19 |
|           7 | 2023-08-01   | security   |          48 |
|           7 | 2023-08-01   | technician |          29 |
|           7 | 2023-08-02   | helper     |          40 |
|           7 | 2023-08-02   | security   |         100 |
|           7 | 2023-08-02   | technician |          60 |
|           7 | 2023-08-03   | helper     |          28 |
|           7 | 2023-08-03   | security   |          68 |
|           7 | 2023-08-03   | technician |          42 |
|           7 | 2023-08-04   | helper     |          22 |
|           7 | 2023-08-04   | security   |          53 |
|           7 | 2023-08-04   | technician |          33 |
|           7 | 2023-08-05   | helper     |          21 |
|           7 | 2023-08-05   | security   |          53 |
|           7 | 2023-08-05   | technician |          32 |
|           8 | 2024-08-01   | helper     |          19 |
|           8 | 2024-08-01   | security   |          48 |
|           8 | 2024-08-01   | technician |          29 |
|           8 | 2024-08-02   | helper     |          40 |
|           8 | 2024-08-02   | security   |         100 |
|           8 | 2024-08-02   | technician |          60 |
|           8 | 2024-08-03   | helper     |          28 |
|           8 | 2024-08-03   | security   |          68 |
|           8 | 2024-08-03   | technician |          42 |
|           8 | 2024-08-04   | helper     |          22 |
|           8 | 2024-08-04   | security   |          53 |
|           8 | 2024-08-04   | technician |          33 |
|           8 | 2024-08-05   | helper     |          21 |
|           8 | 2024-08-05   | security   |          53 |
|           8 | 2024-08-05   | technician |          32 |
|           9 | 2025-08-01   | helper     |          19 |
|           9 | 2025-08-01   | security   |          48 |
|           9 | 2025-08-01   | technician |          29 |
|           9 | 2025-08-02   | helper     |          40 |
|           9 | 2025-08-02   | security   |         100 |
|           9 | 2025-08-02   | technician |          60 |
|           9 | 2025-08-03   | helper     |          28 |
|           9 | 2025-08-03   | security   |          68 |
|           9 | 2025-08-03   | technician |          42 |
|           9 | 2025-08-04   | helper     |          22 |
|           9 | 2025-08-04   | security   |          53 |
|           9 | 2025-08-04   | technician |          33 |
|           9 | 2025-08-05   | helper     |          21 |
|           9 | 2025-08-05   | security   |          53 |
|           9 | 2025-08-05   | technician |          32 |
|          10 | 2026-08-01   | helper     |          19 |
|          10 | 2026-08-01   | security   |          48 |
|          10 | 2026-08-01   | technician |          29 |
|          10 | 2026-08-02   | helper     |          40 |
|          10 | 2026-08-02   | security   |         100 |
|          10 | 2026-08-02   | technician |          60 |
|          10 | 2026-08-03   | helper     |          28 |
|          10 | 2026-08-03   | security   |          68 |
|          10 | 2026-08-03   | technician |          42 |
|          10 | 2026-08-04   | helper     |          22 |
|          10 | 2026-08-04   | security   |          53 |
|          10 | 2026-08-04   | technician |          33 |
|          10 | 2026-08-05   | helper     |          21 |
|          10 | 2026-08-05   | security   |          53 |
|          10 | 2026-08-05   | technician |          32 |
+-------------+--------------+------------+-------------+
